날짜,모기지수(수변부),모기지수(주거지),모기지수(공원)
2016-05-01,254.4,254.4,254.4
2016-05-02,273.5,273.5,273.5
2016-05-03,304,304,304
2016-05-04,256.2,256.2,256.2
2016-05-05,243.8,243.8,243.8
2016-05-06,248.5,248.5,248.5
2016-05-07,243.2,243.2,243.2
2016-05-08,249,249,249
2016-05-09,249.6,249.6,249.6
2016-05-10,240.8,240.8,240.8
2016-05-11,252.1,252.1,252.1
2016-05-12,261.1,261.1,261.1
2016-05-13,258.2,258.2,258.2
2016-05-14,277.8,277.8,277.8
2016-05-15,306.4,306.4,306.4
2016-05-16,299.9,299.9,299.9
2016-05-17,256.9,256.9,256.9
2016-05-18,275.2,275.2,275.2
2016-05-19,309.7,309.7,309.7
2016-05-20,353.6,353.6,353.6
2016-05-21,407,407,407
2016-05-22,438.4,438.4,438.4
2016-05-23,522.5,522.5,522.5
2016-05-24,614.4,614.4,614.4
2016-05-25,609.6,609.6,609.6
2016-05-26,582.1,582.1,582.1
2016-05-27,527.9,527.9,527.9
2016-05-28,487.3,487.3,487.3
2016-05-29,465.9,465.9,465.9
2016-05-30,434.5,434.5,434.5
2016-05-31,427.2,427.2,427.2
2016-06-01,460.2,460.2,460.2
2016-06-02,496.2,496.2,496.2
2016-06-03,539.9,539.9,539.9
2016-06-04,558.4,558.4,558.4
2016-06-05,554.7,554.7,554.7
2016-06-06,581.5,581.5,581.5
2016-06-07,606.2,606.2,606.2
2016-06-08,616.5,616.5,616.5
2016-06-09,604.9,604.9,604.9
2016-06-10,604.9,604.9,604.9
2016-06-11,644.2,644.2,644.2
2016-06-12,658.9,658.9,658.9
2016-06-13,645.7,645.7,645.7
2016-06-14,639.9,639.9,639.9
2016-06-15,666.3,666.3,666.3
2016-06-16,643.5,643.5,643.5
2016-06-17,606.2,606.2,606.2
2016-06-18,575.6,575.6,575.6
2016-06-19,601.5,601.5,601.5
2016-06-20,615.2,615.2,615.2
2016-06-21,624.2,624.2,624.2
2016-06-22,648.6,648.6,648.6
2016-06-23,728.3,728.3,728.3
2016-06-24,789.7,789.7,789.7
2016-06-25,795.1,795.1,795.1
2016-06-26,755,755,755
2016-06-27,755,755,755
2016-06-28,754.9,754.9,754.9
2016-06-29,729.1,729.1,729.1
2016-06-30,720.9,720.9,720.9
2016-07-01,518.3,518.3,518.3
2016-07-02,509.8,509.8,509.8
2016-07-03,505.3,505.3,505.3
2016-07-04,511.1,511.1,511.1
2016-07-05,525.7,525.7,525.7
2016-07-06,535.2,535.2,535.2
2016-07-07,546.5,546.5,546.5
2016-07-08,550.2,550.2,550.2
2016-07-09,538.1,538.1,538.1
2016-07-10,510.9,510.9,510.9
2016-07-11,489.1,489.1,489.1
2016-07-12,454.5,454.5,454.5
2016-07-13,438.2,438.2,438.2
2016-07-14,426.3,426.3,426.3
2016-07-15,409.5,409.5,409.5
2016-07-16,410.2,410.2,410.2
2016-07-17,443.1,443.1,443.1
2016-07-18,471.1,471.1,471.1
2016-07-19,497.8,497.8,497.8
2016-07-20,496.6,496.6,496.6
2016-07-21,482.4,482.4,482.4
2016-07-22,478.9,478.9,478.9
2016-07-23,464.1,464.1,464.1
2016-07-24,425.7,425.7,425.7
2016-07-25,397.9,397.9,397.9
2016-07-26,376.1,376.1,376.1
2016-07-27,369.9,369.9,369.9
2016-07-28,373,373,373
2016-07-29,372.9,372.9,372.9
2016-07-30,388.8,388.8,388.8
2016-07-31,387.5,387.5,387.5
2016-08-01,380.7,380.7,380.7
2016-08-02,381.3,381.3,381.3
2016-08-03,379.6,379.6,379.6
2016-08-04,378.3,378.3,378.3
2016-08-05,368.9,368.9,368.9
2016-08-06,346.8,346.8,346.8
2016-08-07,343.5,343.5,343.5
2016-08-08,338.5,338.5,338.5
2016-08-09,332.1,332.1,332.1
2016-08-10,325.7,325.7,325.7
2016-08-11,320,320,320
2016-08-12,319.6,319.6,319.6
2016-08-13,323.8,323.8,323.8
2016-08-14,324.1,324.1,324.1
2016-08-15,332,332,332
2016-08-16,336.2,336.2,336.2
2016-08-17,335.9,335.9,335.9
2016-08-18,335.6,335.6,335.6
2016-08-19,336.5,336.5,336.5
2016-08-20,337.5,337.5,337.5
2016-08-21,338.9,338.9,338.9
2016-08-22,328.9,328.9,328.9
2016-08-23,327.6,327.6,327.6
2016-08-24,330.5,330.5,330.5
2016-08-25,331.2,331.2,331.2
2016-08-26,339.2,339.2,339.2
2016-08-27,363.6,363.6,363.6
2016-08-28,394.8,394.8,394.8
2016-08-29,443,443,443
2016-08-30,480.8,480.8,480.8
2016-08-31,524.2,524.2,524.2
2016-09-01,545.4,545.4,545.4
2016-09-02,491.2,491.2,491.2
2016-09-03,499,499,499
2016-09-04,517.9,517.9,517.9
2016-09-05,576.3,576.3,576.3
2016-09-06,640.6,640.6,640.6
2016-09-07,697.8,697.8,697.8
2016-09-08,806.8,806.8,806.8
2016-09-10,815.9,815.9,815.9
2016-09-11,821.4,821.4,821.4
2016-09-12,805.9,805.9,805.9
2016-09-13,756.7,756.7,756.7
2016-09-14,743.2,743.2,743.2
2016-09-15,743.2,743.2,743.2
2016-09-16,753.3,753.3,753.3
2016-09-17,759.2,759.2,759.2
2016-09-18,729.9,729.9,729.9
2016-09-19,708.9,708.9,708.9
2016-09-20,682.2,682.2,682.2
2016-09-21,623.5,623.5,623.5
2016-09-22,551.5,551.5,551.5
2016-09-23,523.7,523.7,523.7
2016-09-24,481.3,481.3,481.3
2016-09-25,478.6,478.6,478.6
2016-09-26,480.8,480.8,480.8
2016-09-27,496.8,496.8,496.8
2016-09-28,503.5,503.5,503.5
2016-09-29,513.2,513.2,513.2
2016-09-30,509.8,509.8,509.8
2016-10-01,513.2,513.2,513.2
2016-10-02,501.2,501.2,501.2
2016-10-03,452.5,452.5,452.5
2016-10-04,447.4,447.4,447.4
2016-10-05,461.7,461.7,461.7
2016-10-06,487.9,487.9,487.9
2016-10-07,453,453,453
2016-10-08,439.9,439.9,439.9
2016-10-09,392.2,392.2,392.2
2016-10-10,328.3,328.3,328.3
2016-10-11,265.4,265.4,265.4
2016-10-12,229.6,229.6,229.6
2016-10-13,197.9,197.9,197.9
2016-10-14,186,186,186
2016-10-15,173.1,173.1,173.1
2016-10-16,184.7,184.7,184.7
2016-10-17,212.9,212.9,212.9
2016-10-18,232.7,232.7,232.7
2016-10-19,241.2,241.2,241.2
2016-10-20,260.4,260.4,260.4
2016-10-21,283.3,283.3,283.3
2016-10-22,294.4,294.4,294.4
2016-10-23,288.5,288.5,288.5
2016-10-24,269,269,269
2016-10-25,248.1,248.1,248.1
2016-10-26,234,234,234
2016-10-27,207.2,207.2,207.2
2016-10-28,184.7,184.7,184.7
2016-10-29,172.3,172.3,172.3
2016-10-30,137,137,137
2016-10-31,118,118,118
2016-11-01,25,25,25
2016-11-02,15.8,15.8,15.8
2016-11-03,11.2,11.2,11.2
2016-11-04,9.4,9.4,9.4
2016-11-05,8.6,8.6,8.6
2016-11-06,11.1,11.1,11.1
2016-11-07,14.6,14.6,14.6
2016-11-08,19.9,19.9,19.9
2016-11-09,21.9,21.9,21.9
2016-11-10,20.7,20.7,20.7
2016-11-11,18.5,18.5,18.5
2016-11-12,16.9,16.9,16.9
2016-11-13,14.9,14.9,14.9
2016-11-14,14.8,14.8,14.8
2016-11-15,15.5,15.5,15.5
2016-11-16,25.1,25.1,25.1
2016-11-17,29.7,29.7,29.7
2016-11-19,20.5,20.5,20.5
2016-11-20,22.3,22.3,22.3
2016-11-21,18.9,18.9,18.9
2016-11-22,16,16,16
2016-11-23,15.6,15.6,15.6
2016-11-24,11.7,11.7,11.7
2016-11-25,7.7,7.7,7.7
2016-11-26,5.7,5.7,5.7
2016-11-27,3.6,3.6,3.6
2016-11-28,2.9,2.9,2.9
2016-11-29,2.1,2.1,2.1
2016-11-30,2,2,2
2016-12-01,2.5,2.5,2.5
2016-12-02,3,3,3
2016-12-03,3.1,3.1,3.1
2016-12-04,3.5,3.5,3.5
2016-12-05,3.7,3.7,3.7
2016-12-06,4.2,4.2,4.2
2016-12-07,3.8,3.8,3.8
2016-12-08,3.4,3.4,3.4
2016-12-09,3.2,3.2,3.2
2016-12-10,3,3,3
2016-12-11,2.5,2.5,2.5
2016-12-12,2,2,2
2016-12-13,1.7,1.7,1.7
2016-12-14,2.1,2.1,2.1
2016-12-15,1.9,1.9,1.9
2016-12-16,1.5,1.5,1.5
2016-12-17,1.2,1.2,1.2
2016-12-19,1.7,1.7,1.7
2016-12-20,2.1,2.1,2.1
2016-12-21,2.5,2.5,2.5
2016-12-22,3.5,3.5,3.5
2016-12-23,5.2,5.2,5.2
2016-12-24,6,6,6
2016-12-25,5,5,5
2016-12-26,4,4,4
2016-12-27,3.3,3.3,3.3
2016-12-28,2.2,2.2,2.2
2016-12-29,1.4,1.4,1.4
2016-12-30,1,1,1
2016-12-31,0.9,0.9,0.9
2017-01-01,1,1,1
2017-01-02,1.1,1.1,1.1
2017-01-03,1.2,1.2,1.2
2017-01-04,1.5,1.5,1.5
2017-01-05,2.1,2.1,2.1
2017-01-06,2.8,2.8,2.8
2017-01-07,4.1,4.1,4.1
2017-01-08,4.7,4.7,4.7
2017-01-09,5.5,5.5,5.5
2017-01-10,4.7,4.7,4.7
2017-01-11,3.8,3.8,3.8
2017-01-12,2.6,2.6,2.6
2017-01-13,2,2,2
2017-01-14,1.3,1.3,1.3
2017-01-15,0.8,0.8,0.8
2017-01-16,0.4,0.4,0.4
2017-01-17,0.3,0.3,0.3
2017-01-18,0.3,0.3,0.3
2017-01-19,0.4,0.4,0.4
2017-01-20,0.4,0.4,0.4
2017-01-21,0.5,0.5,0.5
2017-01-22,0.5,0.5,0.5
2017-01-23,0.5,0.5,0.5
2017-01-24,0.4,0.4,0.4
2017-01-25,0.3,0.3,0.3
2017-01-26,0.3,0.3,0.3
2017-01-27,0.2,0.2,0.2
2017-01-28,0.3,0.3,0.3
2017-01-29,0.3,0.3,0.3
2017-01-30,0.4,0.4,0.4
2017-01-31,0.5,0.5,0.5
2017-02-01,0.6,0.6,0.6
2017-02-02,0.6,0.6,0.6
2017-02-03,0.6,0.6,0.6
2017-02-04,0.7,0.7,0.7
2017-02-05,0.9,0.9,0.9
2017-02-06,0.8,0.8,0.8
2017-02-07,1,1,1
2017-02-08,1.2,1.2,1.2
2017-02-09,1.2,1.2,1.2
2017-02-10,1.2,1.2,1.2
2017-02-11,0.8,0.8,0.8
2017-02-12,0.6,0.6,0.6
2017-02-13,0.6,0.6,0.6
2017-02-14,0.6,0.6,0.6
2017-02-15,0.7,0.7,0.7
2017-02-16,0.8,0.8,0.8
2017-02-17,1.1,1.1,1.1
2017-02-18,1.6,1.6,1.6
2017-02-19,1.7,1.7,1.7
2017-02-20,2,2,2
2017-02-21,1.9,1.9,1.9
2017-02-22,1.8,1.8,1.8
2017-02-23,1.7,1.7,1.7
2017-02-24,1.4,1.4,1.4
2017-02-25,1.2,1.2,1.2
2017-02-26,1.4,1.4,1.4
2017-02-27,1.6,1.6,1.6
2017-02-28,1.8,1.8,1.8
2017-03-01,2.3,2.3,2.3
2017-03-02,,,
2017-03-03,3.3,3.3,3.3
2017-03-04,4,4,4
2017-03-05,4.6,4.6,4.6
2017-03-06,5,5,5
2017-03-07,4.5,4.5,4.5
2017-03-08,3.6,3.6,3.6
2017-03-09,2.7,2.7,2.7
2017-03-10,2.7,2.7,2.7
2017-03-11,2.9,2.9,2.9
2017-03-12,3.2,3.2,3.2
2017-03-13,3.7,3.7,3.7
2017-03-14,4.6,4.6,4.6
2017-03-15,5.9,5.9,5.9
2017-03-16,7.8,7.8,7.8
2017-03-17,8.8,8.8,8.8
2017-03-18,9.6,9.6,9.6
2017-03-19,10.4,10.4,10.4
2017-03-20,10.5,10.5,10.5
2017-03-21,11.8,11.8,11.8
2017-03-22,12.8,12.8,12.8
2017-03-23,13.3,13.3,13.3
2017-03-24,14.7,14.7,14.7
2017-03-25,15.1,15.1,15.1
2017-03-26,14.2,14.2,14.2
2017-03-27,13.3,13.3,13.3
2017-03-28,11.4,11.4,11.4
2017-03-29,10.9,10.9,10.9
2017-03-30,11.3,11.3,11.3
2017-03-31,11.6,11.6,11.6
2017-04-01,11.8,11.8,11.8
2017-04-02,11.9,11.9,11.9
2017-04-03,12.1,12.1,12.1
2017-04-04,14.4,14.4,14.4
2017-04-05,18.4,18.4,18.4
2017-04-06,20.8,20.8,20.8
2017-04-07,21.5,21.5,21.5
2017-04-08,26.4,26.4,26.4
2017-04-09,31.8,31.8,31.8
2017-04-10,39.7,39.7,39.7
2017-04-11,48.9,48.9,48.9
2017-04-12,53.7,53.7,53.7
2017-04-13,54.1,54.1,54.1
2017-04-14,57.4,57.4,57.4
2017-04-15,56,56,56
2017-04-16,62.1,62.1,62.1
2017-04-17,67.3,67.3,67.3
2017-04-18,64.7,64.7,64.7
2017-04-19,56,56,56
2017-04-20,55.4,55.4,55.4
2017-04-21,59.2,59.2,59.2
2017-04-22,55.4,55.4,55.4
2017-04-23,51.4,51.4,51.4
2017-04-24,47.2,47.2,47.2
2017-04-25,45.5,45.5,45.5
2017-04-26,52.2,52.2,52.2
2017-04-27,58.6,58.6,58.6
2017-04-28,59.2,59.2,59.2
2017-04-29,65.4,65.4,65.4
2017-04-30,68.6,68.6,68.6
2017-05-01,,,
2017-05-01,65.3,65.3,65.3
2017-05-02,116.8,116.8,116.8
2017-05-03,106.7,106.7,106.7
2017-05-04,148.2,148.2,148.2
2017-05-05,204.7,204.7,204.7
2017-05-06,448.8,448.8,448.8
2017-05-07,517.2,517.2,517.2
2017-05-08,208.4,208.4,208.4
2017-05-09,701.8,701.8,701.8
2017-05-10,559.8,559.8,559.8
2017-05-11,217.2,217.2,217.2
2017-05-12,173.8,173.8,173.8
2017-05-13,125.2,125.2,125.2
2017-05-14,129.1,129.1,129.1
2017-05-15,110.1,110.1,110.1
2017-05-16,127.4,127.4,127.4
2017-05-17,158.1,158.1,158.1
2017-05-18,178.8,178.8,178.8
2017-05-19,169.9,169.9,169.9
2017-05-20,188.3,188.3,188.3
2017-05-21,205.7,205.7,205.7
2017-05-22,245.9,245.9,245.9
2017-05-23,406.9,406.9,406.9
2017-05-24,455.7,455.7,455.7
2017-05-25,467.4,467.4,467.4
2017-05-26,560.8,560.8,560.8
2017-05-27,248.1,248.1,248.1
2017-05-28,563.8,563.8,563.8
2017-05-29,829.1,829.1,829.1
2017-05-30,578.5,578.5,578.5
2017-05-31,450.6,450.6,450.6
2017-06-01,406.9,406.9,406.9
2017-06-01,406.9,406.9,406.9
2017-06-02,464.1,464.1,464.1
2017-06-03,516.5,516.5,516.5
2017-06-04,475.8,475.8,475.8
2017-06-05,627.8,627.8,627.8
2017-06-06,613,613,613
2017-06-07,531.3,531.3,531.3
2017-06-08,455.7,455.7,455.7
2017-06-09,487.6,487.6,487.6
2017-06-10,501.7,501.7,501.7
2017-06-11,422,422,422
2017-06-11,422,422,422
2017-06-12,381.7,381.7,381.7
2017-06-13,440.5,440.5,440.5
2017-06-14,464.1,464.1,464.1
2017-06-15,500.7,500.7,500.7
2017-06-16,489.3,489.3,489.3
2017-06-17,551,551,551
2017-06-18,566.7,566.7,566.7
2017-06-19,555.9,555.9,555.9
2017-06-20,679,679,679
2017-06-21,797.1,797.1,797.1
2017-06-22,961.5,961.5,961.5
2017-06-23,1000,1000,1000
2017-06-24,1000,1000,1000
2017-06-24,1000,1000,1000
2017-06-25,1000,1000,1000
2017-06-26,1000,1000,1000
2017-06-26,1000,1000,1000
2017-06-27,1000,1000,1000
2017-06-28,1000,1000,1000
2017-06-29,1000,1000,1000
2017-06-30,1000,1000,1000
2017-07-01,754.1,754.1,754.1
2017-07-02,756.3,756.3,756.3
2017-07-03,755.2,755.2,755.2
2017-07-04,794.9,794.9,794.9
2017-07-05,847.9,847.9,847.9
2017-07-06,855.6,855.6,855.6
2017-07-07,877.7,877.7,877.7
2017-07-08,882.1,882.1,882.1
2017-07-09,884.3,884.3,884.3
2017-07-10,928.4,928.4,928.4
2017-07-10,928.4,928.4,928.4
2017-07-11,921.8,921.8,921.8
2017-07-12,911.9,911.9,911.9
2017-07-13,909.7,909.7,909.7
2017-07-14,900.8,900.8,900.8
2017-07-15,935,935,935
2017-07-16,921.8,921.8,921.8
2017-07-17,919.6,919.6,919.6
2017-07-18,952.7,952.7,952.7
2017-07-19,976.9,976.9,976.9
2017-07-20,1000,1000,1000
2017-07-21,1000,1000,1000
2017-07-22,1000,1000,1000
2017-07-23,1000,1000,1000
2017-07-24,1000,1000,1000
2017-07-25,1000,1000,1000
2017-07-26,1000,1000,1000
2017-07-27,1000,1000,1000
2017-07-28,1000,1000,1000
2017-07-29,1000,1000,1000
2017-07-30,969.2,969.2,969.2
2017-07-31,994.6,994.6,994.6
2017-08-01,529.3,529.3,529.3
2017-08-02,518.5,518.5,518.5
2017-08-03,428.7,428.7,428.7
2017-08-04,423.7,423.7,423.7
2017-08-05,380,380,380
2017-08-05,380,380,380
2017-08-06,228,228,228
2017-08-07,210.1,210.1,210.1
2017-08-08,181.6,181.6,181.6
2017-08-09,209,209,209
2017-08-10,211.8,211.8,211.8
2017-08-11,231.4,231.4,231.4
2017-08-12,252.1,252.1,252.1
2017-08-13,317.7,317.7,317.7
2017-08-14,448.9,448.9,448.9
2017-08-15,554.9,554.9,554.9
2017-08-16,433.8,433.8,433.8
2017-08-17,472.5,472.5,472.5
2017-08-18,454,454,454
2017-08-19,455.7,455.7,455.7
2017-08-20,482.6,482.6,482.6
2017-08-21,513.5,513.5,513.5
2017-08-22,505.7,505.7,505.7
2017-08-23,443.9,443.9,443.9
2017-08-24,423.7,423.7,423.7
2017-08-27,541.1,541.1,541.1
2017-08-28,285.8,285.8,285.8
2017-08-29,227.5,227.5,227.5
2017-08-30,253.8,253.8,253.8
2017-08-31,204,204,204
2017-09-01,460.7,460.7,460.7
2017-09-01,460.7,460.7,460.7
2017-09-02,381.7,381.7,381.7
2017-09-03,455.7,455.7,455.7
2017-09-04,460.7,460.7,460.7
2017-09-05,497.7,497.7,497.7
2017-09-06,506.6,506.6,506.6
2017-09-07,509.6,509.6,509.6
2017-09-08,499.4,499.4,499.4
2017-09-09,507.6,507.6,507.6
2017-09-10,515.5,515.5,515.5
2017-09-11,489.3,489.3,489.3
2017-09-11,489.3,489.3,489.3
2017-09-12,443.9,443.9,443.9
2017-09-13,475.8,475.8,475.8
2017-09-14,494.3,494.3,494.3
2017-09-15,509.6,509.6,509.6
2017-09-15,509.6,509.6,509.6
2017-09-16,459,459,459
2017-09-17,450.6,450.6,450.6
2017-09-18,470.8,470.8,470.8
2017-09-19,477.5,477.5,477.5
2017-09-20,502.7,502.7,502.7
2017-09-21,500.7,500.7,500.7
2017-09-22,497.7,497.7,497.7
2017-09-23,383.3,383.3,383.3
2017-09-24,413.6,413.6,413.6
2017-09-25,415.3,415.3,415.3
2017-09-26,459,459,459
2017-09-27,491,491,491
2017-09-28,519.4,519.4,519.4
2017-09-28,519.4,519.4,519.4
2017-09-29,520.4,520.4,520.4
2017-09-30,656.4,656.4,656.4
2017-10-01,329.5,329.5,329.5
2017-10-02,277.4,277.4,277.4
2017-10-03,247,247,247
2017-10-04,221.9,221.9,221.9
2017-10-05,181.6,181.6,181.6
2017-10-06,177.2,177.2,177.2
2017-10-07,185.5,185.5,185.5
2017-10-08,185,185,185
2017-10-09,199,199,199
2017-10-10,207.9,207.9,207.9
2017-10-11,226.3,226.3,226.3
2017-10-12,341.3,341.3,341.3
2017-10-13,177.7,177.7,177.7
2017-10-14,86.6,86.6,86.6
2017-10-15,81.6,81.6,81.6
2017-10-16,74.3,74.3,74.3
2017-10-17,69.8,69.8,69.8
2017-10-18,66.5,66.5,66.5
2017-10-19,66.5,66.5,66.5
2017-10-20,69.8,69.8,69.8
2017-10-21,75.4,75.4,75.4
2017-10-22,115.1,115.1,115.1
2017-10-23,124,124,124
2017-10-24,97.2,97.2,97.2
2017-10-25,96.7,96.7,96.7
2017-10-26,95.5,95.5,95.5
2017-10-27,92.7,92.7,92.7
2017-10-28,92.7,92.7,92.7
2017-10-29,92.2,92.2,92.2
2017-10-30,54.2,54.2,54.2
2017-10-31,23.4,23.4,23.4
2017-11-01,5.5,5.5,5.5
2017-11-02,5.5,5.5,5.5
2017-11-03,5.5,5.5,5.5
2017-11-04,5.5,5.5,5.5
2017-11-05,5.5,5.5,5.5
2017-11-06,5.5,5.5,5.5
2017-11-07,5.5,5.5,5.5
2017-11-08,5.5,5.5,5.5
2017-11-09,5.5,5.5,5.5
2017-11-10,5.5,5.5,5.5
2017-11-11,5.5,5.5,5.5
2017-11-12,5.5,5.5,5.5
2017-11-13,5.5,5.5,5.5
2017-11-14,5.5,5.5,5.5
2017-11-15,5.5,5.5,5.5
2017-11-16,5.5,5.5,5.5
2017-11-17,5.5,5.5,5.5
2017-11-18,5.5,5.5,5.5
2017-11-19,5.5,5.5,5.5
2017-11-20,5.5,5.5,5.5
2017-11-21,5.5,5.5,5.5
2017-11-22,5.5,5.5,5.5
2017-11-23,5.5,5.5,5.5
2017-11-24,5.5,5.5,5.5
2017-11-26,5.5,5.5,5.5
2017-11-27,5.5,5.5,5.5
2017-11-28,5.5,5.5,5.5
2017-11-29,5.5,5.5,5.5
2017-11-30,5.5,5.5,5.5
2017-12-01,5.5,5.5,5.5
2017-12-02,5.5,5.5,5.5
2017-12-03,5.5,5.5,5.5
2017-12-03,5.5,5.5,5.5
2017-12-04,5.5,5.5,5.5
2017-12-05,5.5,5.5,5.5
2017-12-06,5.5,5.5,5.5
2017-12-07,5.5,5.5,5.5
2017-12-08,5.5,5.5,5.5
2017-12-09,5.5,5.5,5.5
2017-12-10,5.5,5.5,5.5
2017-12-11,5.5,5.5,5.5
2017-12-11,5.5,5.5,5.5
2017-12-12,5.5,5.5,5.5
2017-12-13,5.5,5.5,5.5
2017-12-14,5.5,5.5,5.5
2017-12-15,5.5,5.5,5.5
2017-12-16,5.5,5.5,5.5
2017-12-17,5.5,5.5,5.5
2017-12-18,5.5,5.5,5.5
2017-12-19,5.5,5.5,5.5
2017-12-20,5.5,5.5,5.5
2017-12-20,5.5,5.5,5.5
2017-12-21,5.5,5.5,5.5
2017-12-22,5.5,5.5,5.5
2017-12-23,5.5,5.5,5.5
2017-12-24,5.5,5.5,5.5
2017-12-25,5.5,5.5,5.5
2017-12-26,5.5,5.5,5.5
2017-12-27,5.5,5.5,5.5
2017-12-28,5.5,5.5,5.5
2017-12-29,5.5,5.5,5.5
2017-12-30,5.5,5.5,5.5
2017-12-31,5.5,5.5,5.5
2018-01-01,5.5,5.5,5.5
2018-01-02,5.5,5.5,5.5
2018-01-03,5.5,5.5,5.5
2018-01-04,5.5,5.5,5.5
2018-01-05,5.5,5.5,5.5
2018-01-06,5.5,5.5,5.5
2018-01-07,5.5,5.5,5.5
2018-01-08,5.5,5.5,5.5
2018-01-09,5.5,5.5,5.5
2018-01-10,5.5,5.5,5.5
2018-01-11,5.5,5.5,5.5
2018-01-12,5.5,5.5,5.5
2018-01-13,5.5,5.5,5.5
2018-01-14,5.5,5.5,5.5
2018-01-15,5.5,5.5,5.5
2018-01-16,5.5,5.5,5.5
2018-01-17,5.5,5.5,5.5
2018-01-18,5.5,5.5,5.5
2018-01-19,5.5,5.5,5.5
2018-01-20,5.5,5.5,5.5
2018-01-21,5.5,5.5,5.5
2018-01-22,5.5,5.5,5.5
2018-01-23,5.5,5.5,5.5
2018-01-24,5.5,5.5,5.5
2018-01-25,5.5,5.5,5.5
2018-01-26,5.5,5.5,5.5
2018-01-27,5.5,5.5,5.5
2018-01-28,5.5,5.5,5.5
2018-01-28,5.5,5.5,5.5
2018-01-29,5.5,5.5,5.5
2018-01-30,5.5,5.5,5.5
2018-01-31,5.5,5.5,5.5
2018-02-01,5.5,5.5,5.5
2018-02-02,5.5,5.5,5.5
2018-02-03,5.5,5.5,5.5
2018-02-04,5.5,5.5,5.5
2018-02-05,5.5,5.5,5.5
2018-02-06,5.5,5.5,5.5
2018-02-07,5.5,5.5,5.5
2018-02-08,5.5,5.5,5.5
2018-02-09,5.5,5.5,5.5
2018-02-09,5.5,5.5,5.5
2018-02-10,5.5,5.5,5.5
2018-02-10,5.5,5.5,5.5
2018-02-11,5.5,5.5,5.5
2018-02-12,5.5,5.5,5.5
2018-02-13,5.5,5.5,5.5
2018-02-14,5.5,5.5,5.5
2018-02-15,5.5,5.5,5.5
2018-02-16,5.5,5.5,5.5
2018-02-17,5.5,5.5,5.5
2018-02-18,5.5,5.5,5.5
2018-02-19,5.5,5.5,5.5
2018-02-20,5.5,5.5,5.5
2018-02-21,5.5,5.5,5.5
2018-02-22,5.5,5.5,5.5
2018-02-23,5.5,5.5,5.5
2018-02-23,5.5,5.5,5.5
2018-02-24,5.5,5.5,5.5
2018-02-25,5.5,5.5,5.5
2018-02-26,5.5,5.5,5.5
2018-02-27,5.5,5.5,5.5
2018-02-28,5.5,5.5,5.5
2018-03-01,5.5,5.5,5.5
2018-03-02,5.5,5.5,5.5
2018-03-03,5.5,5.5,5.5
2018-03-04,5.5,5.5,5.5
2018-03-05,5.5,5.5,5.5
2018-03-06,5.5,5.5,5.5
2018-03-07,5.5,5.5,5.5
2018-03-08,5.5,5.5,5.5
2018-03-09,5.5,5.5,5.5
2018-03-10,5.5,5.5,5.5
